horizon,day,n,correct,up_days,hc_n,hc_correct,hc_up_days,pred_up_days,hc_pred_up_days
1d,20657,323,132,191,59,21,38,0,0
1d,20659,6,6,0,1,1,0,0,0
1d,20660,1,0,0,0,0,0,1,0
1d,20661,40,29,5,0,0,0,8,0
1d,20662,320,119,200,1,1,0,3,0
1d,20664,323,108,229,4,3,1,28,0
1d,20666,4,4,1,0,0,0,1,0
1d,20667,322,180,242,54,25,37,196,20
1d,20668,324,143,144,306,139,139,323,306
1d,20669,326,153,126,29,15,14,161,16
1d,20670,325,115,213,0,0,0,3,0
1d,20671,43,25,18,0,0,0,4,0
1d,20672,2,1,0,0,0,0,1,0
1d,20674,23,7,16,0,0,0,0,0
1d,20675,52,34,19,0,0,0,1,0
1d,20676,55,28,25,0,0,0,2,0
1d#pm,20660,1,0,0,1,0,0,1,1
1d#pm,20661,40,5,5,40,5,5,40,40
1d#pm,20662,320,200,200,320,200,200,320,320
1d#pm,20664,323,229,229,323,229,229,323,323
1d#pm,20666,4,1,1,4,1,1,4,4
1d#pm,20667,322,242,242,322,242,242,322,322
1d#pm,20668,324,144,144,324,144,144,324,324
1d#pm,20669,326,126,126,326,126,126,326,326
1d#pm,20670,325,213,213,325,213,213,325,325
1d#pm,20671,43,18,18,43,18,18,43,43
1d#pm,20672,2,0,0,2,0,0,2,2
1d#pm,20674,23,16,16,23,16,16,23,23
1d#pm,20675,52,19,19,52,19,19,52,52
1d#pm,20676,55,25,25,55,25,25,55,55
1w,20657,324,157,168,23,10,13,3,2
1w,20658,5,3,0,3,1,0,2,2
1w,20660,324,139,186,20,8,12,1,0
1w,20661,314,102,212,13,4,9,0,0
1w,20662,317,120,220,43,19,24,45,0
1w,20664,321,88,233,174,54,120,0,0
1w,20665,1,0,1,0,0,0,0,0
1w,20666,4,2,2,4,2,2,0,0
1w,20667,320,92,228,57,19,38,0,0
1w,20668,322,169,169,8,3,3,322,8
1w,20669,324,135,189,0,0,0,26,0
1w,20670,323,191,220,6,3,4,190,1
1w,20671,6,3,3,0,0,0,0,0
1w,20672,6,5,1,1,1,0,0,0
1w,20673,6,4,2,1,1,0,0,0
1w#pm,20660,292,173,173,0,0,0,292,0
1w#pm,20661,314,212,212,0,0,0,314,0
1w#pm,20662,317,220,220,0,0,0,317,0
1w#pm,20664,321,233,233,319,231,231,321,319
1w#pm,20665,1,1,1,0,0,0,1,0
1w#pm,20666,4,2,2,4,2,2,4,4
1w#pm,20667,320,228,228,320,228,228,320,320
1w#pm,20668,322,169,169,322,169,169,322,322
1w#pm,20669,324,189,189,324,189,189,324,324
1w#pm,20670,323,220,220,323,220,220,323,323
1w#pm,20671,6,3,3,6,3,3,6,6
1w#pm,20672,6,1,1,6,1,1,6,6
1w#pm,20673,6,2,2,6,2,2,6,6
