kind,horizon_days,day,n,correct
filingsdrift21,21,20657,10,6
filingsdrift21,21,20660,5,4
filingsdrift21,21,20662,17,7
filingsdrift21,21,20663,12,3
filingsdrift21,21,20664,11,3
filingsdrift21,21,20667,13,4
filingsdrift21,21,20668,8,2
filingsdrift21,21,20669,21,12
filingsdrift21,21,20670,17,9
filingsdrift21,21,20671,27,11
filingsdrift21,21,20674,13,8
filingsdrift21,21,20675,4,1
filingsdrift21,21,20676,2,1
filingsdrift21,21,20677,2,1
filingsdrift21,21,20678,6,4
filingsdrift21,21,20681,7,5
filingsdrift21,21,20682,1,1
filingsdrift21,21,20683,1,1
liquidity21,21,20657,284,223
liquidity21,21,20660,1,1
liquidity21,21,20661,659,455
liquidity21,21,20662,159,106
liquidity21,21,20664,283,202
liquidity21,21,20667,283,195
liquidity21,21,20668,842,545
liquidity21,21,20669,282,185
liquidity21,21,20670,454,317
liquidity21,21,20671,287,173
liquidity21,21,20674,286,185
liquidity21,21,20675,449,308
liquidity21,21,20676,448,311
liquidity21,21,20677,451,312
liquidity21,21,20678,446,301
liquidity21,21,20681,455,317
liquidity21,21,20682,449,319
liquidity21,21,20683,445,315
liquidity21-crypto,21,20657,7,7
liquidity21-crypto,21,20659,7,7
liquidity21-crypto,21,20660,7,7
liquidity21-crypto,21,20661,7,7
liquidity21-crypto,21,20662,2,2
liquidity21-crypto,21,20664,1,1
liquidity21-crypto,21,20665,6,5
liquidity21-crypto,21,20666,7,6
liquidity21-crypto,21,20667,7,5
liquidity21-crypto,21,20669,7,5
liquidity21-crypto,21,20670,7,5
liquidity21-crypto,21,20671,7,5
liquidity21-crypto,21,20672,7,5
liquidity21-crypto,21,20673,7,4
liquidity21-crypto,21,20674,7,4
liquidity21-crypto,21,20675,7,3
liquidity21-crypto,21,20676,7,3
liquidity21-crypto,21,20677,7,1
liquidity21-crypto,21,20678,7,1
liquidity21-crypto,21,20679,7,1
liquidity21-crypto,21,20680,7,1
liquidity21-crypto,21,20681,7,1
liquidity21-crypto,21,20682,7,1
liquidity21-crypto,21,20683,7,1
liquidity21-crypto,21,20684,7,1
liquidity21-crypto,21,20685,7,1
trend21,21,20657,284,221
trend21,21,20660,1,1
trend21,21,20661,663,511
trend21,21,20662,164,128
trend21,21,20664,283,220
trend21,21,20667,283,229
trend21,21,20668,851,651
trend21,21,20669,282,226
trend21,21,20670,457,365
trend21,21,20671,287,231
trend21,21,20674,286,230
trend21,21,20675,455,361
trend21,21,20676,451,359
trend21,21,20677,452,351
trend21,21,20678,449,354
trend21,21,20681,457,357
trend21,21,20682,450,357
trend21,21,20683,448,356
trend21-crypto,21,20657,7,6
trend21-crypto,21,20659,7,6
trend21-crypto,21,20660,7,6
trend21-crypto,21,20661,7,6
trend21-crypto,21,20662,2,1
trend21-crypto,21,20664,1,0
trend21-crypto,21,20665,6,0
trend21-crypto,21,20666,7,0
trend21-crypto,21,20667,7,1
trend21-crypto,21,20669,7,2
trend21-crypto,21,20670,7,1
trend21-crypto,21,20671,7,2
trend21-crypto,21,20672,7,2
trend21-crypto,21,20673,7,2
trend21-crypto,21,20674,7,2
trend21-crypto,21,20675,7,2
trend21-crypto,21,20676,7,2
trend21-crypto,21,20677,7,1
trend21-crypto,21,20678,7,3
trend21-crypto,21,20679,7,2
trend21-crypto,21,20680,7,1
trend21-crypto,21,20681,7,1
trend21-crypto,21,20682,7,1
trend21-crypto,21,20683,7,3
trend21-crypto,21,20684,7,6
trend21-crypto,21,20685,7,7
vol21,21,20657,287,180
vol21,21,20661,667,394
vol21,21,20662,165,91
vol21,21,20664,282,139
vol21,21,20667,284,131
vol21,21,20668,854,437
vol21,21,20669,282,113
vol21,21,20670,460,217
vol21,21,20671,288,115
vol21,21,20674,287,117
vol21,21,20675,458,209
vol21,21,20676,453,200
vol21,21,20677,453,204
vol21,21,20678,452,208
vol21,21,20681,458,217
vol21,21,20682,449,212
vol21,21,20683,447,208
