kind,horizon_days,day,n,correct
liquidity21,21,20660,1,1
liquidity21,21,20661,657,449
liquidity21,21,20662,157,105
liquidity21,21,20664,283,199
liquidity21,21,20667,283,195
liquidity21,21,20668,842,541
liquidity21,21,20669,282,184
liquidity21,21,20670,454,315
liquidity21,21,20671,287,173
liquidity21,21,20674,286,194
liquidity21,21,20675,449,315
liquidity21,21,20676,448,316
liquidity21,21,20677,451,324
liquidity21,21,20678,446,312
liquidity21,21,20681,455,332
liquidity21,21,20682,449,323
liquidity21,21,20683,445,315
liquidity21-crypto,21,20661,7,7
liquidity21-crypto,21,20662,2,2
liquidity21-crypto,21,20664,1,1
liquidity21-crypto,21,20665,6,5
liquidity21-crypto,21,20666,7,6
liquidity21-crypto,21,20667,7,5
liquidity21-crypto,21,20669,7,5
liquidity21-crypto,21,20670,7,5
liquidity21-crypto,21,20671,7,5
liquidity21-crypto,21,20672,7,5
liquidity21-crypto,21,20673,7,4
liquidity21-crypto,21,20674,7,4
liquidity21-crypto,21,20675,7,3
liquidity21-crypto,21,20676,7,3
liquidity21-crypto,21,20677,7,1
liquidity21-crypto,21,20678,7,1
liquidity21-crypto,21,20679,7,1
liquidity21-crypto,21,20680,7,1
liquidity21-crypto,21,20681,7,1
liquidity21-crypto,21,20682,7,1
liquidity21-crypto,21,20683,7,1
liquidity21-crypto,21,20684,7,1
liquidity21-crypto,21,20685,7,1
trend21,21,20660,1,1
trend21,21,20661,663,511
trend21,21,20662,164,125
trend21,21,20664,283,221
trend21,21,20667,283,229
trend21,21,20668,851,655
trend21,21,20669,282,226
trend21,21,20670,457,365
trend21,21,20671,287,231
trend21,21,20674,286,233
trend21,21,20675,455,361
trend21,21,20676,451,364
trend21,21,20677,452,355
trend21,21,20678,449,349
trend21,21,20681,457,355
trend21,21,20682,450,358
trend21,21,20683,448,361
trend21-crypto,21,20661,7,6
trend21-crypto,21,20662,2,1
trend21-crypto,21,20664,1,0
trend21-crypto,21,20665,6,0
trend21-crypto,21,20666,7,0
trend21-crypto,21,20667,7,1
trend21-crypto,21,20669,7,2
trend21-crypto,21,20670,7,1
trend21-crypto,21,20671,7,2
trend21-crypto,21,20672,7,2
trend21-crypto,21,20673,7,2
trend21-crypto,21,20674,7,2
trend21-crypto,21,20675,7,2
trend21-crypto,21,20676,7,2
trend21-crypto,21,20677,7,1
trend21-crypto,21,20678,7,2
trend21-crypto,21,20679,7,2
trend21-crypto,21,20680,7,1
trend21-crypto,21,20681,7,1
trend21-crypto,21,20682,7,1
trend21-crypto,21,20683,7,3
trend21-crypto,21,20684,7,6
trend21-crypto,21,20685,7,7
vol21,21,20661,663,392
vol21,21,20662,165,93
vol21,21,20664,282,133
vol21,21,20667,284,135
vol21,21,20668,854,422
vol21,21,20669,282,113
vol21,21,20670,460,215
vol21,21,20671,288,124
vol21,21,20674,287,121
vol21,21,20675,458,221
vol21,21,20676,453,203
vol21,21,20677,453,202
vol21,21,20678,452,206
vol21,21,20681,458,197
vol21,21,20682,449,190
vol21,21,20683,447,194
