symbol,timeframe,active,first_day,last_day,n,sha256
A,1d,0,17898,20657,1899,c8a2a890babed2254cd34e304ca08f86f43ba1543a6bf65ffa4160567cb5a7c5
AACIW,1d,0,18942,20656,1176,f6722bdea138b0e6ee19b1900d71304b01bf6d67995ee6afd9f635f65cf1aa7f
AAL,1d,1,17898,20658,1900,3f89d56d0ab8c6ed7e1b2c64e1a1efc6121d75e67aec2abd04dcdab987f22a4a
AAOI,1d,1,17898,20658,1900,9da45633cdcb087ab51dd424e27dde605fb7cc2dfcb8ace06670e4b2acb4d4c7
AAOX,1d,0,20536,20657,84,2107e9145abaa4f9e01d1646cc1862229de6791c8663c843eb9ffb57c5561184
AAP,1d,0,17898,20657,1899,17bfaccd9df5e62f45babc788ac605251568dfac91c55b964986d587ae918153
AAPL,1d,1,17898,20658,1900,51abb3860b8c790dac223d3c876c36bf4ec576e3efaf93437dcdc883f017892a
AARD,1d,0,20132,20657,361,e7a415f02cd2ca6120e42e2b42bfb292e7adc58b971f415439b84e4182697a54
ABBV,1d,1,17898,20658,1900,7f56da379bbce12eaeccc30ee15b26cf6e90ee083e3f4ca6c2d91e2a798efdba
ABCL,1d,1,18607,20658,1409,100b8fdafcaf2795d2f492a698567727beaddd61090bf3d5221b1cea35bfe463
ABEV,1d,0,17898,20657,1899,28dbd01d63f8ac0265516fc48a0544567b6f21978f812e65afba870dd8d53cf8
ABNB,1d,0,18606,20657,1409,27921ba7b1be89e456c73d6c3e9f35b9ec116c3011001d4caee0922cfe87d916
ABSI,1d,1,18830,20658,1257,1b9cbac00dfc02f9630ef2f0e8550f472836ea505c829e724e885af5ed7293ae
ABT,1d,1,17898,20658,1900,354303aaf1d28b8662a110a136ed9697b68bee974d6c78f39aed2f49d0aba7ac
ABTC,1d,0,17898,20657,1899,9148b1be9a3cc0f8117b5369fa8df1e0af26c217a5c3328e9bfffc3010cc9faf
ABUS,1d,1,17898,20658,1900,db15f4cd863ebac3dccdd27fa148bbdb9fe5c29da69fa10725e58f57e1b6e698
ACDC,1d,0,19125,20657,1051,224ab8ef629cbef4cd2e5a3fb52538ae974ec9db72567ae7342f7d99d2849572
ACGL,1d,0,17898,20657,1899,43beac0dd332afe78e3c5af4deca207a83e1b2efa5f947224d44c0ecc33fe664
ACHR,1d,0,18614,20657,1403,992d4d44aec1a48193fafb2d26701e42160c660342d7435375d8d95df531e92c
ACN,1d,1,17898,20658,1900,d600c14cb7c038b067357bfc9785c6e6704316140d906d8332cf8d8e49451918
ADBE,1d,1,17898,20658,1900,5e4ffc3408fdf3e02a32c18352c7f7d39037e6dfef5453ef7534188fa5ce18b2
ADBG,1d,0,20168,20657,336,7f168efcc0260fa6a8e01a931e79dd5feb8b1b38bf60d9259a1a4cd83e3f6427
ADI,1d,1,17898,20658,1900,5ae1062dfabb10d35e129a03e6db95adf391c130f9c8a2763528d1223e551aea
ADM,1d,0,17898,20657,1899,c83adb793e0367e18f037acac0861b041ca83a75866806ec331fb9268eb1d4d6
ADP,1d,0,17898,20657,1899,e86eda20401ed2b978ae331a83780719fdee22446a3058fb6dfbc32964c4abb7
ADSK,1d,0,17898,20657,1899,713d4447e0b78c763f70c4caa7a460c9ddaafe62efc3b413533e915020e1d8b9
AEE,1d,0,17898,20657,1899,7fa60070fc6bc9a50ae8b64a5d606a7669cc36aa3446e062b7f9b1dae55ae056
AENTW,1d,0,19538,20656,767,75956d5d638cf6744fc0bd40dd19257e682166947e74f32ea51fb107a3611f91
AEP,1d,1,17898,20658,1900,e1c5c886f4757995c5fb86e4dbee0988fad7e62a11a174b857805f49ee8dd639
AES,1d,0,17898,20657,1899,28458522ba6ec01939409b8e3e465f91c9aaf2338feb015b9f2ae134dd3382ba
AEVA,1d,0,18319,20657,1609,65a960dfd25c648f01d544aa1dad854d98a64b7fb302981485024dd45dadd48e
