horizon,day,n,n_distinct_prob,top1_prob,top1_count,top3_share,acc,up_share,hc_n,hc_acc,collapsed
1d,2026-07-23,330,17,0.37555741360089184,157,0.7364,0.4121,0.6,61,0.3607,1
1d,2026-07-24,7,7,0.3490582075343398,1,0.4286,0.2857,1.0,4,0.25,0
1d,2026-07-25,7,4,0.3730872794800371,3,0.8571,1.0,0.0,1,1.0,0
1d,2026-07-26,330,8,0.5111952012557461,302,0.9758,0.4879,0.4879,0,0.0,1
1d,2026-07-27,330,8,0.48633010603964977,160,0.9333,0.5576,0.3364,0,0.0,1
1d,2026-07-28,328,14,0.4436040572095739,177,0.8018,0.372,0.625,1,1.0,1
1d,2026-07-30,328,6,0.46347420417124036,289,0.9817,0.3445,0.6982,4,0.75,1
1d,2026-07-31,7,1,0.443212459321246,7,1.0,0.0,1.0,0,0.0,0
1d,2026-08-01,7,2,0.46347420417124036,6,1.0,1.0,0.1429,0,0.0,0
1d,2026-08-02,328,9,0.5895084485407066,148,0.7988,0.5579,0.747,56,0.4821,1
1d,2026-08-03,330,19,0.6752539062500001,117,0.6727,0.4424,0.4455,310,0.4581,1
1d,2026-08-04,327,324,0.8554631170271769,4,0.0183,0.4679,0.3884,29,0.5172,0
1d,2026-08-05,327,326,0.4814057716505963,2,0.0122,0.3517,0.6575,0,0.0,0
1d,2026-08-06,43,43,0.48166752155568604,1,0.0698,0.5814,0.4186,0,0.0,0
1d,2026-08-07,2,2,0.5093610145488908,1,1.0,0.5,0.0,0,0.0,0
1d,2026-08-09,23,23,0.4873358923945123,1,0.1304,0.3043,0.6957,0,0.0,0
1d,2026-08-10,66,66,0.4615703046706021,1,0.0455,0.697,0.3182,0,0.0,0
1d,2026-08-11,63,63,0.46471682753407945,1,0.0476,0.4762,0.4921,0,0.0,0
1d,2026-08-12,21,21,0.47954436123146543,1,0.1429,0.6667,0.3333,0,0.0,0
1d,2026-08-13,20,20,0.47888087622418024,1,0.15,0.7,0.3,0,0.0,0
1d,2026-08-16,36,36,0.5233666741648261,1,0.0833,0.5556,0.3333,0,0.0,0
1d,2026-08-17,111,111,0.48804664059734143,1,0.027,0.4234,0.5766,1,0.0,0
1d,2026-08-18,23,23,0.42998376845517566,1,0.1304,0.4783,0.5217,0,0.0,0
1d,2026-08-19,22,22,0.47635510151949406,1,0.1364,0.4545,0.5455,0,0.0,0
1d,2026-08-20,96,96,0.48634157033215714,1,0.0312,0.4479,0.5625,0,0.0,0
1d,2026-08-23,5,5,0.48634157033215714,1,0.6,0.0,1.0,0,0.0,0
1d,2026-08-27,31,31,0.4805667781433731,1,0.0968,0.5161,0.4839,0,0.0,0
1d,2026-08-30,30,30,0.49282604953442216,1,0.1,0.6667,0.2667,0,0.0,0
1d,2026-08-31,35,35,0.47808270393741714,1,0.0857,0.4571,0.5714,0,0.0,0
1d,2026-09-01,31,31,0.493387302849961,1,0.0968,0.5161,0.5161,0,0.0,0
1d,2026-09-07,7,4,0.4772454961222698,3,0.8571,0.8571,0.1429,0,0.0,0
1d#pm,2026-07-26,330,1,1.0,330,1.0,0.4879,0.4879,330,0.4879,1
1d#pm,2026-07-27,330,1,1.0,330,1.0,0.3364,0.3364,330,0.3364,1
1d#pm,2026-07-28,328,1,1.0,328,1.0,0.625,0.625,328,0.625,1
1d#pm,2026-07-30,328,1,1.0,328,1.0,0.6982,0.6982,328,0.6982,1
1d#pm,2026-07-31,7,1,1.0,7,1.0,1.0,1.0,7,1.0,0
1d#pm,2026-08-01,7,1,1.0,7,1.0,0.1429,0.1429,7,0.1429,0
1d#pm,2026-08-02,328,1,1.0,328,1.0,0.747,0.747,328,0.747,1
1d#pm,2026-08-03,330,1,1.0,330,1.0,0.4455,0.4455,330,0.4455,1
1d#pm,2026-08-04,327,1,1.0,327,1.0,0.3884,0.3884,327,0.3884,1
