horizon,day,n,mean_prob,share_up_calls,realized_up,acc,auc_within
1d,2026-07-24,88,0.450089,0.386364,0.613636,0.477273,0.523148
1d,2026-07-25,282,0.445454,0.361702,0.592199,0.570922,0.618589
1d,2026-07-26,330,0.393949,0.000000,0.572727,0.427273,0.456527
1d,2026-07-27,330,0.511563,1.000000,0.487879,0.487879,0.512349
1d,2026-07-28,330,0.490952,0.251515,0.336364,0.557576,0.448599
1d,2026-07-29,328,0.447761,0.009146,0.625000,0.371951,0.469919
1d,2026-07-30,328,0.426942,0.015244,0.658537,0.350610,0.517940
1d,2026-07-31,328,0.427788,0.012195,0.676829,0.335366,0.523840
1d,2026-08-02,328,0.466318,0.085366,0.707317,0.335366,0.521327
1d,2026-08-03,328,0.503523,0.615854,0.689024,0.530488,0.495033
1d,2026-08-04,330,0.772598,0.993939,0.427273,0.421212,0.526136
1d,2026-08-05,327,0.506758,0.489297,0.452599,0.400612,0.412917
1d,2026-08-06,327,0.481901,0.009174,0.633028,0.370031,0.588627
1d,2026-08-07,34,0.480671,0.117647,0.411765,0.529412,0.267857
1d,2026-08-08,12,0.491443,0.333333,0.416667,0.416667,
1d,2026-08-09,19,0.475240,0.000000,0.526316,0.473684,
1d,2026-08-10,23,0.481619,0.000000,0.695652,0.304348,
1d,2026-08-11,66,0.474151,0.015152,0.318182,0.696970,0.600000
1d,2026-08-12,63,0.478925,0.031746,0.460317,0.507937,0.522312
1d,2026-08-13,21,0.479368,0.000000,0.333333,0.666667,
1d,2026-08-14,18,0.478478,0.000000,0.277778,0.722222,
1d,2026-08-15,19,0.480565,0.000000,0.315789,0.684211,
1d,2026-08-16,3,0.481620,0.000000,0.666667,0.333333,
1d,2026-08-17,36,0.485214,0.166667,0.333333,0.555556,0.468750
1d,2026-08-18,111,0.482235,0.054054,0.576577,0.423423,0.488032
1d,2026-08-19,23,0.476841,0.000000,0.565217,0.434783,
1d,2026-08-20,23,0.479072,0.000000,0.565217,0.434783,
1d,2026-08-21,85,0.481140,0.023529,0.564706,0.435294,0.600225
1d,2026-08-22,4,0.476245,0.000000,0.750000,0.250000,
1d,2026-08-23,32,0.484335,0.093750,0.656250,0.375000,0.463203
1d,2026-08-24,5,0.478265,0.000000,1.000000,0.000000,
1d,2026-08-30,31,0.484310,0.129032,0.451613,0.548387,0.529412
1d,2026-08-31,30,0.485128,0.133333,0.366667,0.566667,0.612440
1d,2026-09-01,35,0.483133,0.085714,0.600000,0.428571,0.639456
1d,2026-09-02,32,0.484323,0.093750,0.531250,0.500000,0.647059
1d,2026-09-07,7,0.480031,0.000000,0.142857,0.857143,
1d,2026-09-08,7,0.480031,0.000000,0.142857,0.857143,
1d#pm,2026-07-27,330,1.000000,1.000000,0.487879,0.487879,0.500000
1d#pm,2026-07-28,330,1.000000,1.000000,0.336364,0.336364,0.500000
1d#pm,2026-07-29,328,1.000000,1.000000,0.625000,0.625000,0.500000
1d#pm,2026-07-30,328,1.000000,1.000000,0.658537,0.658537,0.500000
1d#pm,2026-07-31,328,1.000000,1.000000,0.676829,0.676829,0.500000
1d#pm,2026-08-02,328,1.000000,1.000000,0.707317,0.707317,0.500000
1d#pm,2026-08-03,328,1.000000,1.000000,0.689024,0.689024,0.500000
1d#pm,2026-08-04,330,1.000000,1.000000,0.427273,0.427273,0.500000
1d#pm,2026-08-05,327,1.000000,1.000000,0.452599,0.452599,0.500000
1d#pm,2026-08-06,327,1.000000,1.000000,0.633028,0.633028,0.500000
1d#pm,2026-08-07,34,1.000000,1.000000,0.411765,0.411765,0.500000
1d#pm,2026-08-08,12,1.000000,1.000000,0.416667,0.416667,
1d#pm,2026-08-09,19,1.000000,1.000000,0.526316,0.526316,
1d#pm,2026-08-10,23,1.000000,1.000000,0.695652,0.695652,
1d#pm,2026-08-11,66,1.000000,1.000000,0.318182,0.318182,0.500000
1d#pm,2026-08-12,63,1.000000,1.000000,0.460317,0.460317,0.500000
1d#pm,2026-08-13,21,1.000000,1.000000,0.333333,0.333333,
1d#pm,2026-08-14,18,1.000000,1.000000,0.277778,0.277778,
1d#pm,2026-08-15,19,1.000000,1.000000,0.315789,0.315789,
1d#pm,2026-08-16,3,1.000000,1.000000,0.666667,0.666667,
1d#pm,2026-08-17,36,1.000000,1.000000,0.333333,0.333333,0.500000
1d#pm,2026-08-18,111,1.000000,1.000000,0.576577,0.576577,0.500000
1d#pm,2026-08-19,23,1.000000,1.000000,0.565217,0.565217,
1d#pm,2026-08-20,23,1.000000,1.000000,0.565217,0.565217,
1d#pm,2026-08-21,85,1.000000,1.000000,0.564706,0.564706,0.500000
1d#pm,2026-08-22,4,1.000000,1.000000,0.750000,0.750000,
1d#pm,2026-08-23,32,1.000000,1.000000,0.656250,0.656250,0.500000
1d#pm,2026-08-24,5,1.000000,1.000000,1.000000,1.000000,
1d#pm,2026-08-30,31,1.000000,1.000000,0.451613,0.451613,0.500000
1d#pm,2026-08-31,30,1.000000,1.000000,0.366667,0.366667,0.500000
1d#pm,2026-09-01,35,1.000000,1.000000,0.600000,0.600000,0.500000
1d#pm,2026-09-02,32,1.000000,1.000000,0.531250,0.531250,0.500000
1d#pm,2026-09-07,7,1.000000,1.000000,0.142857,0.142857,
1d#pm,2026-09-08,7,1.000000,1.000000,0.142857,0.142857,
1w,2026-07-24,85,0.444240,0.058824,0.552941,0.388235,0.463606
1w,2026-07-25,278,0.413472,0.021583,0.525180,0.453237,0.469982
1w,2026-07-26,326,0.417658,0.003067,0.524540,0.478528,0.486587
1w,2026-07-27,326,0.416076,0.003067,0.573620,0.429448,0.499346
1w,2026-07-28,328,0.417154,0.000000,0.673780,0.326220,0.526304
1w,2026-07-29,327,0.432425,0.137615,0.694190,0.376147,0.503040
1w,2026-07-30,327,0.411718,0.076453,0.730887,0.321101,0.542079
1w,2026-07-31,328,0.418060,0.070122,0.728659,0.323171,0.557590
1w,2026-08-02,328,0.336396,0.000000,0.704268,0.295732,0.529589
1w,2026-08-03,328,0.340453,0.000000,0.679878,0.320122,0.494640
1w,2026-08-04,331,0.550289,1.000000,0.540785,0.540785,0.457549
1w,2026-08-05,327,0.471591,0.082569,0.617737,0.422018,0.542257
1w,2026-08-06,329,0.504744,0.577508,0.665653,0.595745,0.591179
1w,2026-08-07,330,0.497390,0.533333,0.572727,0.548485,0.572404
1w,2026-08-08,327,0.498848,0.535168,0.574924,0.513761,0.565590
1w,2026-08-09,327,0.498595,0.535168,0.587156,0.501529,0.545370
1w,2026-08-10,329,0.449143,0.300912,0.541033,0.522796,0.552515
1w,2026-08-11,514,0.463313,0.354086,0.445525,0.488327,0.496514
1w,2026-08-12,1038,0.476803,0.351638,0.472062,0.501927,0.507627
1w,2026-08-13,67,0.508821,0.537313,0.358209,0.462687,0.454457
1w,2026-08-14,66,0.498503,0.545455,0.424242,0.515152,0.462406
1w,2026-08-15,63,0.497363,0.539683,0.412698,0.523810,0.453222
1w,2026-08-16,62,0.497128,0.532258,0.419355,0.500000,0.433761
1w,2026-08-17,65,0.494876,0.507692,0.523077,0.492308,0.486717
1w,2026-08-18,235,0.494246,0.519149,0.557447,0.468085,0.470787
1w,2026-08-19,59,0.490032,0.440678,0.474576,0.559322,0.502304
1w,2026-08-20,62,0.496967,0.500000,0.467742,0.451613,0.460815
1w,2026-08-21,235,0.491397,0.476596,0.425532,0.480851,0.451481
1w,2026-08-22,67,0.512104,0.492537,0.343284,0.432836,0.365613
1w,2026-08-23,67,0.510127,0.492537,0.343284,0.432836,0.379447
