symbol_id,symbol,market,name,instrument_class,active,added_at_utc,delisted_at_utc,first_bar_utc,last_bar_utc,n_bars_1d,flat_share,n_membership_days,membership_first_utc,membership_last_utc,has_fundamentals,in_companies,har_screen_pass,har_companies_only_pass
1,BTC/USD,crypto,Bitcoin/USD (Coinbase+Kraken consolidated via TickStream),crypto,1,2024-07-11,,2024-07-11,2026-09-09,791,0.0,773,2024-07-11,2026-08-22,0,0,1,0
2,SPY,stocks,SPDR S&P 500 ETF,fund,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,0,1,1,0
3,QQQ,stocks,Invesco Nasdaq-100 ETF,fund,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,0,1,1,0
4,AAPL,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
5,NVDA,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
6,TSLA,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
7,AMD,stocks,"Advanced Micro Devices, Inc. Common Stock",common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
8,COIN,stocks,"Coinbase Global, Inc. Class A Common Stock",common,1,2021-04-14,,2021-04-14,2026-09-08,1357,0.0,1346,2021-04-14,2026-08-21,1,1,1,1
9,SOXL,stocks,Direxion Daily Semiconductor Bull 3X ETF,fund,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,0,0,1,0
10,INTC,stocks,Intel Corporation Common Stock,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
11,A,stocks,,common,0,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
12,ABBV,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
13,ABNB,stocks,,common,1,2020-12-10,,2020-12-10,2026-09-08,1441,0.0,1430,2020-12-10,2026-08-21,1,1,1,1
14,ABT,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
15,ACGL,stocks,,common,0,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
16,ACN,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
17,ADBE,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
18,ADI,stocks,,common,1,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
19,ADM,stocks,,common,0,2019-01-02,,2019-01-02,2026-09-08,1931,0.0,1920,2019-01-02,2026-08-21,1,1,1,1
