day,n_rows,n_symbols,n_stocks,n_crypto,n_resolved,n_ungradable,n_pending,created_first_utc,created_last_utc,revisions,qualifies
2024-09-16,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-09-17,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-09-30,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-01,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-02,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-03,1,1,1,0,0,1,0,2026-09-07T20:15:05+00:00,2026-09-07T20:15:05+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-04,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-08,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-10,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-16,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-24,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-10-30,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2024-11-01,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
