kind,day,n,acc,n_frozen,naive_acc,n_superseded
liquidity21,2026-07-18,832,0.6887,0,0.0,0
liquidity21,2026-07-20,290,0.6897,0,0.0,0
liquidity21,2026-07-21,717,0.7029,0,0.0,0
liquidity21,2026-07-22,275,0.7636,0,0.0,0
liquidity21,2026-07-23,78,0.7051,0,0.0,0
liquidity21,2026-07-24,12,0.8333,0,0.0,0
liquidity21,2026-07-25,269,0.7807,0,0.0,0
liquidity21,2026-07-26,3,1.0,0,0.0,0
liquidity21,2026-07-27,1,1.0,1,1.0,0
liquidity21,2026-07-28,659,0.6904,657,0.6834,0
liquidity21,2026-07-29,133,0.6842,131,0.687,0
liquidity21,2026-07-31,218,0.6927,218,0.6881,0
liquidity21,2026-08-01,65,0.7846,65,0.7538,0
liquidity21,2026-08-03,283,0.689,283,0.689,0
liquidity21,2026-08-04,185,0.7405,185,0.7405,0
liquidity21,2026-08-05,279,0.6631,279,0.6559,0
liquidity21,2026-08-06,732,0.6817,732,0.679,0
liquidity21,2026-08-07,283,0.5972,283,0.5972,0
liquidity21,2026-08-10,273,0.641,273,0.685,0
trend21,2026-07-18,837,0.8005,0,0.0,0
trend21,2026-07-20,292,0.8527,0,0.0,0
trend21,2026-07-21,722,0.7659,0,0.0,0
trend21,2026-07-22,275,0.7745,0,0.0,0
trend21,2026-07-23,81,0.7654,0,0.0,0
trend21,2026-07-24,12,0.5833,0,0.0,0
trend21,2026-07-25,269,0.7881,0,0.0,0
trend21,2026-07-26,3,0.6667,0,0.0,0
trend21,2026-07-27,1,1.0,1,1.0,0
trend21,2026-07-28,663,0.7707,663,0.7707,0
trend21,2026-07-29,138,0.8043,138,0.7826,0
trend21,2026-07-31,219,0.7808,219,0.79,0
trend21,2026-08-01,64,0.7656,64,0.75,0
trend21,2026-08-03,283,0.8092,283,0.8092,0
trend21,2026-08-04,187,0.7861,187,0.7914,0
trend21,2026-08-05,279,0.8136,279,0.8136,0
trend21,2026-08-06,734,0.7997,734,0.7997,0
trend21,2026-08-07,283,0.8092,283,0.8092,0
trend21,2026-08-10,277,0.8087,277,0.8195,0
vol21,2026-07-18,848,0.6627,0,0.0,0
vol21,2026-07-20,295,0.6847,0,0.0,0
vol21,2026-07-21,731,0.6717,0,0.0,0
vol21,2026-07-22,278,0.6583,0,0.0,0
vol21,2026-07-23,83,0.6506,0,0.0,0
vol21,2026-07-24,11,0.5455,0,0.0,0
vol21,2026-07-25,273,0.6337,0,0.0,0
vol21,2026-07-26,3,0.3333,0,0.0,0
vol21,2026-07-28,667,0.5907,663,0.5913,0
vol21,2026-07-29,139,0.5612,139,0.5683,0
vol21,2026-07-31,218,0.4771,218,0.4633,0
vol21,2026-08-01,64,0.5469,64,0.5,0
vol21,2026-08-03,284,0.4613,284,0.4754,0
vol21,2026-08-04,190,0.5737,190,0.5526,0
vol21,2026-08-05,279,0.3943,279,0.4122,0
vol21,2026-08-06,735,0.4435,735,0.4395,0
vol21,2026-08-07,285,0.393,285,0.4281,0
vol21,2026-08-10,276,0.4022,276,0.4203,0
liquidity21-crypto,2026-07-18,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-20,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-21,2,1.0,0,0.0,0
liquidity21-crypto,2026-07-22,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-23,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-24,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-26,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-27,7,1.0,0,0.0,0
liquidity21-crypto,2026-07-28,7,1.0,7,1.0,0
liquidity21-crypto,2026-07-29,2,1.0,2,1.0,0
liquidity21-crypto,2026-07-31,1,1.0,1,1.0,0
liquidity21-crypto,2026-08-01,6,0.8333,6,0.8333,0
liquidity21-crypto,2026-08-02,7,0.8571,7,0.8571,0
liquidity21-crypto,2026-08-03,7,0.7143,7,0.7143,0
liquidity21-crypto,2026-08-05,7,0.7143,7,0.7143,0
liquidity21-crypto,2026-08-06,7,0.7143,7,0.7143,0
liquidity21-crypto,2026-08-07,7,0.7143,7,0.7143,0
liquidity21-crypto,2026-08-08,7,0.7143,7,0.7143,0
liquidity21-crypto,2026-08-09,7,0.5714,7,0.5714,0
liquidity21-crypto,2026-08-10,7,0.5714,7,0.5714,0
trend21-crypto,2026-07-18,7,1.0,0,0.0,0
trend21-crypto,2026-07-20,7,1.0,0,0.0,0
trend21-crypto,2026-07-21,2,1.0,0,0.0,0
trend21-crypto,2026-07-22,7,1.0,0,0.0,0
trend21-crypto,2026-07-23,7,0.8571,0,0.0,0
trend21-crypto,2026-07-24,7,0.8571,0,0.0,0
trend21-crypto,2026-07-26,7,0.8571,0,0.0,0
trend21-crypto,2026-07-27,7,0.8571,0,0.0,0
trend21-crypto,2026-07-28,7,0.8571,7,0.8571,0
trend21-crypto,2026-07-29,2,0.5,2,0.5,0
trend21-crypto,2026-07-31,1,0.0,1,0.0,0
trend21-crypto,2026-08-01,6,0.0,6,0.0,0
trend21-crypto,2026-08-02,7,0.0,7,0.0,0
trend21-crypto,2026-08-03,7,0.1429,7,0.1429,0
trend21-crypto,2026-08-05,7,0.2857,7,0.2857,0
trend21-crypto,2026-08-06,7,0.1429,7,0.1429,0
